regulatoryGene,targetGene,weight
IRF8,THEMIS2,0.036316978040089
E2F7,CASC5,0.0363166625878419
SPI1,PTAFR,0.0363157234841661
NR4A1,RGS16,0.036295827113072
BHLHE22,RP11-21C4.1,0.0362769665859755
E2F8,ARHGAP11A,0.0362747677064103
IRF8,LAPTM5,0.0362608251588046
NFKB2,RELB,0.0361867674012856
IRF5,IL12RB1,0.0361548444938594
E2F8,DEPDC1,0.0361440741546774
NR4A2,ATF3,0.0361433828714347
IRF8,HLA-DMB,0.0361344492354009
FOXM1,BLM,0.0361232238869767
KLF9,ERRFI1,0.03609796488394
NR1D1,ARNTL,0.0360871372727681
IRF5,P2RY6,0.0360805422367779
FOXM1,PKMYT1,0.0360789607030442
IRF5,AIF1,0.0360777197837246
IRF5,PARVG,0.0360769286291373
E2F2,FOXM1,0.0360695738926054
L3MBTL1,RP11-361L15.5,0.0360421904276476
SP100,SP110,0.0360147541955845
IRF5,HCK,0.0360006935633982
DBP,CRY1,0.0359851310121615
TBX15,PEX19,0.0359735353317213
IRF5,DOK3,0.0359735304223337
TBX2,FOXS1,0.0359711274281735
SPI1,OSCAR,0.0359617176233977
ERG,FLI1,0.0358844371932062
LMX1A,SCARA5,0.0358810622087811
ERG,GIMAP8,0.0358666328207047
IKZF1,EOMES,0.0358623650296164
EGR1,IER2,0.0358366532240065
JUNB,BTG2,0.0358287768554772
CEBPA,PLIN1,0.0358048614292304
GTF3A,PSMA6,0.0357925801190162
IRF5,ITGB2,0.0357784922650888
ZIM2,PEG3,0.0357782394583516
IRF8,SLC15A3,0.035772615226447
E2F2,RAD51,0.0357662181408825
MYBL2,BUB1,0.0357644750797557
E4F1,RHOT2,0.0357540951326977
TFEC,RAB39A,0.0357459752165224
MYBL2,ANLN,0.0357406343781805
SRCAP,RP11-667K14.4,0.0357373318118008
FAM200B,SPATA7,0.0357235586433316
ATF3,FOSB,0.0357072803706104
MYBL2,E2F1,0.0356968374240303
ZNF728,ZNF676,0.0356838255007883
HOXD8,HOXD3,0.0356575447055763
ZEB2,PHLDB2,0.0356284352570615
TFE3,DHDDS,0.0356208510619215
IRF9,OAS3,0.0355981471842238
MYBL2,SKA3,0.0355825256426927
FOSL1,PLK3,0.0355598192628679
FLI1,BMX,0.0355354463810999
E2F2,KIF18B,0.0355144174923156
FOXM1,OIP5,0.0354964103648282
TFEC,CD53,0.035483851396409
CEBPZ,DNTTIP2,0.0354785635472758
EGR1,ZFP36L1,0.0354443914637083
FOSB,CYR61,0.0354350544525865
FOXM1,CLSPN,0.0354308526323281
STAT1,CMPK2,0.0354307002189441
MYBL2,MCM10,0.0354176628987509
FOSB,C2CD4B,0.0354084410975821
ZGPAT,C19orf68,0.0354074453185062
ZIC1,FOXD3-AS1,0.0354027937727162
MYBL2,CDCA8,0.0353910284280587
XBP1,RAB6C-AS1,0.0353899415191235
AEBP2,RNF138,0.0353718696152006
E2F8,ZNF367,0.0353610915537635
FOSB,BTG2,0.0353443851704625
POU2F2,SASH3,0.0353267369011963
GTF3A,POMP,0.03532422082931
PEG3,ZIM2,0.0353228554561423
SPI1,KCNAB2,0.0353118948504192
CEBPA,LIPE,0.0353091520161542
HOXC10,HOXC12,0.0353087210533199
TEF,CIART,0.0353073732615568
ZBTB21,PIGA,0.0353034711064575
E2F2,DEPDC1B,0.0353027260889758
ESR1,GFRA1,0.0353003311610921
SRCAP,TRRAP,0.035292376275185
E2F7,ESCO2,0.0352861466523074
E2F7,KIF11,0.035285621960699
IRF5,WDFY4,0.0352648792383688
BARX2,KRT17,0.0352428252603111
ZEB2,SEPT11,0.0352204815733852
PPARG,RP11-175K6.2,0.0352151899585321
IKZF3,CRTAM,0.0352062098644849
MLXIPL,GPAM,0.0351868802799578
PROX1,ZIC2,0.0351843102874948
SRCAP,KMT2D,0.0351790859251486
TEF,ADIRF-AS1,0.0351745008193482
SPI1,SIGLEC7,0.0351653004183636
ZNF511,COX4I1,0.0351489632760659
FOSB,PTGS2,0.0351472204581097
TFEC,CD86,0.0351214566784313
EOMES,CST7,0.0351061741434124
SPI1,FCGR2A,0.0350727322216427
IKZF1,TRAT1,0.0350705274243745
JUNB,PPP1R15A,0.0350575720910695
IRF5,ARHGAP30,0.0350546797225118
ANKZF1,CLK2,0.0350205041446757
FLI1,ELMO1,0.0350122016591419
PAX5,BLK,0.0349967420596014
SPI1,P2RY6,0.0349821243488761
POU2F2,GPR65,0.0349731728260966
NR4A1,EGR1,0.0349689732590059
MYBL2,ASPM,0.0349329741674305
SCML4,IL7R,0.0349309367117756
E2F8,NEK2,0.0349150757813547
NR1D2,ARNTL,0.0348962892288001
CEBPA,CIDEA,0.0348716642291154
E2F7,FOXM1,0.0348660590989812
RARA,RARA-AS1,0.0348573122417736
MYBL2,CDC25C,0.0348554973508612
ANKZF1,FAM193B,0.0348411797133485
LTF,RARRES1,0.0348276470459767
IKZF3,CD2,0.0348228355851782
E2F8,CDCA2,0.0348196815817953
MLXIPL,ACSS2,0.0348196701760598
E2F2,UBE2C,0.0348152379617979
PPARG,DHDDS,0.034808718920654
TEF,DBP,0.0348050299342116
KLF4,HBEGF,0.0348012558480786
EBF1,RASGRF2,0.0347971954824403
MYBL2,ORC6,0.0347971438955778
SPI1,HLA-DMB,0.0347856473054129
PPARG,TMEM37,0.0347777309621521
PPARG,RP5-864K19.4,0.034775957021991
MLXIPL,PPP1R1A,0.0347756238557134
IKZF3,ZNF831,0.0347699897957118
PPARG,KLB,0.0347523975000257
DRAP1,TAF15,0.0347451387929984
SPI1,CD86,0.0347374720257557
PAX5,FCRLA,0.0347127731804681
GFI1,CCL5,0.0346927182182645
E2F7,MKI67,0.034655631155529
JUNB,EGR1,0.0346285136477023
MLXIPL,PFKFB1,0.0346060419940235
SP4,ZC2HC1A,0.0345958056399928
MYBL2,UHRF1,0.0345889255672213
POU2AF1,MEI1,0.0345813679050403
CEBPA,LINC01485,0.0345561885239238
IKZF3,EOMES,0.0345498253172816
SPI1,ITGAM,0.0345362156755111
NR4A3,NR4A2,0.0345032242849105
IRF5,SNX20,0.0344962380309297
EGR1,EGR3,0.0344819781379663
IRF5,PILRA,0.0344643315650878
IKZF1,SH2D1A,0.0344629979060166
IKZF1,TMC8,0.0344052753025312
PGR,EPHA8,0.0344015089674835
IRF5,LAT2,0.0343867528495271
SOX2,RP11-443P15.2,0.0343782571561362
ATF3,JUN,0.0343771970948097
ZGPAT,RNF40,0.0343348808323947
GABPA,RAB33B,0.0343289851305696
E2F7,NEIL3,0.0343036513957899
MYB,TMEM26,0.0342932420825771
ZNF385D,TRPM6,0.0342859830607293
SAFB2,HIRIP3,0.0342857735744924
IKZF3,THEMIS,0.0342714897049105
E2F7,CCNA2,0.0342628630800847
MYSM1,CREBZF,0.0342577273614675
E2F7,EXO1,0.0342476766116085
CEBPA,SLC29A4,0.0342463130072728
PPARG,CD36,0.0341977057620953
CEBPA,ADIRF,0.0341940537039483
SPI1,VNN2,0.0341768845543498
IRF5,IGSF6,0.0341755923761156
DNMT1,CRYZL1,0.0341721780214834
E2F8,GTSE1,0.0341661521841306
IKZF3,SLAMF1,0.0341656690305648
EGR2,CTD-3247F14.2,0.0341645033679166
SPI1,CSF1R,0.0341620387537579
POU2AF1,TNFRSF13B,0.0341618503628081
IKZF1,SPN,0.0341602682916446
PPARG,FFAR4,0.0341447525405507
ZNF787,SCAF1,0.0341441969224205
EHF,ESRP1,0.0341428519750316
POU2AF1,IGLL5,0.0341341831206363
DR1,MZT1,0.0341308413073193
E2F8,ORC6,0.0341055598315337
IRF8,NCF4,0.0341002631845208
TFE3,C1QTNF1,0.0340974726774024
IRX6,DMTN,0.0340897801730617
DLX1,DLX2,0.0340796825173952
IRF5,OSCAR,0.0340614786454847
ZBTB47,HSPA12B,0.0340595782798004
EPAS1,VWF,0.034056856902916
IKZF1,PRKCB,0.0340540424323011
SOX10,SLC6A14,0.0340475734471484
ZNF26,TST,0.0340390386005966
E2F7,ASPM,0.0340345834533389
MYBL2,CDC25A,0.0340294482933471
LHX4,RP11-449P15.2,0.0340265504970509
CSRNP1,JUND,0.0340217302925774
SAFB,FTSJ3,0.0340170987239977
E2F7,CDC6,0.0340160737996515
E2F2,EXO1,0.0340036009612392
E2F8,CDC25C,0.0339953963695288
POU2F2,PLCB2,0.0339782316252182
ATF3,TRIB1,0.0339735881282311
FOSB,ATF3,0.0339597105403733
GTF3A,NDUFB1,0.0339547991977965
E2F8,AURKB,0.0339537642081703
FOXM1,TRIP13,0.0339477234593301
SPI1,NAGA,0.0339356500213166
KMT2A,ERCC6,0.03393476923774
EBF1,CLMP,0.0339319630464546
MIXL1,TXNDC5,0.0339266200725167
SPI1,SELPLG,0.0339191610341037
THYN1,PCBD1,0.0339080704995819
ZNF692,ANKZF1,0.0339006757051753
POU2AF1,FCRL5,0.0338900964596144
E2F2,PLK1,0.0338859471429204
SPI1,SLCO2B1,0.0338815120228061
IRF5,GPSM3,0.0338811527405057
FOXM1,DIAPH3,0.0338737763764199
SAFB,HNRNPA2B1,0.0338597053191204
SMAD5,GABPA,0.0338293956502928
